1001,3.64E-06,3.24E-06,Decent_Best_run1,Decent_Average_run1
1001,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1000,3.67E-06,3.47E-06,3.83E-06,3.58E-06
1001,3.67E-06,3.48E-06,3.83E-06,3.58E-06
1000,3.67E-06,3.47E-06,3.83E-06,3.59E-06
1001,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1000,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1001,3.67E-06,3.47E-06,3.83E-06,3.59E-06
1000,3.67E-06,3.47E-06,3.83E-06,3.59E-06
1001,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1000,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1001,3.67E-06,3.48E-06,3.83E-06,3.59E-06
1000,3.67E-06,3.48E-06,3.83E-06,3.60E-06
1001,3.67E-06,3.48E-06,3.85E-06,3.60E-06
1000,3.67E-06,3.48E-06,3.85E-06,3.59E-06
1001,3.67E-06,3.48E-06,3.85E-06,3.59E-06
1000,3.67E-06,3.48E-06,3.85E-06,3.60E-06
1001,3.67E-06,3.48E-06,3.85E-06,3.60E-06
1000,3.67E-06,3.48E-06,3.85E-06,3.60E-06
1001,3.67E-06,3.48E-06,3.85E-06,3.60E-06
1000,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.48E-06,3.85E-06,3.61E-06
1000,3.67E-06,3.48E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.85E-06,3.60E-06
1000,3.67E-06,3.48E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.85E-06,3.60E-06
1000,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1000,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1000,3.67E-06,3.49E-06,3.85E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.61E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.61E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.61E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.49E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.62E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.62E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.63E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.49E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.64E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.66E-06
